id;name;duration;description;language;image_url;publish_date
1;Account Infrastructure;97607;../fake-data/blob/hipster.txt;Arabe;New e-services Ball;2023-07-11T14:06:04
2;pink Soap Designer;70237;../fake-data/blob/hipster.txt;Francais;User-centric calculate;2023-07-11T00:41:31
3;programming;5046;../fake-data/blob/hipster.txt;Arabe;virtual GB Fish;2023-07-11T11:49:01
4;Designer solid;55392;../fake-data/blob/hipster.txt;Francais;Savings;2023-07-10T21:08:32
5;THX;24245;../fake-data/blob/hipster.txt;Francais;connecting;2023-07-10T19:48:02
6;Table;67062;../fake-data/blob/hipster.txt;Arabe;Senior GB;2023-07-11T07:51:49
7;Orchestrator infomediaries;20280;../fake-data/blob/hipster.txt;Anglais;convergence;2023-07-10T17:12:26
8;Architect;97689;../fake-data/blob/hipster.txt;Arabe;Handmade Bacon SQL;2023-07-11T06:54:03
9;Cotton;3312;../fake-data/blob/hipster.txt;Anglais;Ohio Refined;2023-07-11T02:52:51
10;Trafficway;8451;../fake-data/blob/hipster.txt;Francais;Architect Throughway;2023-07-10T17:15:06
